date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:58:12	91673/91673	---M-Z	200	added ('OK')	text/html	date:Tue,%2009%20Nov%202021%2015:58:15%20GMT	https://www.gamestop.at/PC/Games/114823/grand-theft-auto-v	D:/itp%20project/site/site/www.gamestop.at/PC/Games/114823/grand-theft-auto-v.html	(from )
16:58:12	219/219	---M-Z	200	added ('OK')	text/plain	etag:%220e525f717d0d71:0%22	https://www.gamestop.at/robots.txt		(from )
16:58:13	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Tue,%2009%20Nov%202021%2015:58:16%20GMT	https://www.googletagmanager.com/gtm.js?id=	D:/itp%20project/site/site/www.googletagmanager.com/gtm.15445.delayed	(from https://www.gamestop.at/PC/Games/114823/grand-theft-auto-v)
16:58:13	269031/269031	---M-Z	200	added ('OK')	text/css	date:Tue,%2009%20Nov%202021%2012:46:44%20GMT	https://www.gamestop.at/Content/coreNewStyles.css?v=8uu4xkiDnYJanMcTmtC3vaFydQdpGKeDA2dgFV7aZRA1	D:/itp%20project/site/site/www.gamestop.at/Content/coreNewStylescd8d.css	(from https://www.gamestop.at/PC/Games/114823/grand-theft-auto-v)
16:58:13	2812/2812	---M--	200	added ('OK')	image/png	etag:%22805bcd99b6afd71:0%22	https://www.gamestop.at/Views/Locale/Content/Images/logo.png	D:/itp%20project/site/site/www.gamestop.at/Views/Locale/Content/Images/logo.png	(from https://www.gamestop.at/PC/Games/114823/grand-theft-auto-v)
16:58:13	15836/15836	---M--	200	added ('OK')	image/png	etag:%228065ab64646d51:0%22	https://www.gamestop.at/Views/Locale/Content/Images/LogosBrands/brandlogo-highlight-sale_generic.png	D:/itp%20project/site/site/www.gamestop.at/Views/Locale/Content/Images/LogosBrands/brandlogo-highlight-sale_generic.png	(from https://www.gamestop.at/PC/Games/114823/grand-theft-auto-v)
16:58:14	5285/5285	---M--	200	added ('OK')	image/png	etag:%22b2cc6e6a8242d71:0%22	https://www.gamestop.at/Views/Locale/Content/Images/Categories/cat-GamesSale.png	D:/itp%20project/site/site/www.gamestop.at/Views/Locale/Content/Images/Categories/cat-GamesSale.png	(from https://www.gamestop.at/PC/Games/114823/grand-theft-auto-v)
16:58:14	7361/7361	---M--	200	added ('OK')	image/png	etag:%222de9edecd30d51:0%22	https://www.gamestop.at/Views/Locale/Content/Images/Categories/cat-ZiNG-Figuren.png	D:/itp%20project/site/site/www.gamestop.at/Views/Locale/Content/Images/Categories/cat-ZiNG-Figuren.png	(from https://www.gamestop.at/PC/Games/114823/grand-theft-auto-v)
16:58:14	18893/18893	---M--	200	added ('OK')	image/png	etag:%2223d7a2e6d30d51:0%22	https://www.gamestop.at/Views/Locale/Content/Images/Categories/cat-HeadsetsXboxOne.png	D:/itp%20project/site/site/www.gamestop.at/Views/Locale/Content/Images/Categories/cat-HeadsetsXboxOne.png	(from https://www.gamestop.at/PC/Games/114823/grand-theft-auto-v)
16:58:14	26830/26830	---M--	200	added ('OK')	image/png	etag:%2287bd12a8242d71:0%22	https://www.gamestop.at/Views/Locale/Content/Images/Categories/cat-gamesXboxOne_generic.png	D:/itp%20project/site/site/www.gamestop.at/Views/Locale/Content/Images/Categories/cat-gamesXboxOne_generic.png	(from https://www.gamestop.at/PC/Games/114823/grand-theft-auto-v)
16:58:15	30722/30722	---M--	200	added ('OK')	image/png	etag:%22257380378242d71:0%22	https://www.gamestop.at/Views/Locale/Content/Images/Categories/cat-gamesps4_generic.png	D:/itp%20project/site/site/www.gamestop.at/Views/Locale/Content/Images/Categories/cat-gamesps4_generic.png	(from https://www.gamestop.at/PC/Games/114823/grand-theft-auto-v)
16:58:15	37797/37797	---M--	200	added ('OK')	image/png	etag:%2229e2b6698342d71:0%22	https://www.gamestop.at/Views/Locale/Content/Images/Categories/cat-gamesPC_generic.png	D:/itp%20project/site/site/www.gamestop.at/Views/Locale/Content/Images/Categories/cat-gamesPC_generic.png	(from https://www.gamestop.at/PC/Games/114823/grand-theft-auto-v)
16:58:15	37214/37214	---M--	200	added ('OK')	image/png	etag:%22a839e7328342d71:0%22	https://www.gamestop.at/Views/Locale/Content/Images/Categories/cat-gamesSwitch_generic.png	D:/itp%20project/site/site/www.gamestop.at/Views/Locale/Content/Images/Categories/cat-gamesSwitch_generic.png	(from https://www.gamestop.at/PC/Games/114823/grand-theft-auto-v)
16:58:15	30361/30361	---M--	200	added ('OK')	image/png	etag:%225c913dff8242d71:0%22	https://www.gamestop.at/Views/Locale/Content/Images/Categories/cat-games3DS_generic.png	D:/itp%20project/site/site/www.gamestop.at/Views/Locale/Content/Images/Categories/cat-games3DS_generic.png	(from https://www.gamestop.at/PC/Games/114823/grand-theft-auto-v)
16:58:15	41110/41110	---M--	200	added ('OK')	image/png	etag:%227041fe508242d71:0%22	https://www.gamestop.at/Views/Locale/Content/Images/Categories/cat-Loot_generic.png	D:/itp%20project/site/site/www.gamestop.at/Views/Locale/Content/Images/Categories/cat-Loot_generic.png	(from https://www.gamestop.at/PC/Games/114823/grand-theft-auto-v)
16:58:16	63365/63365	---M--	200	added ('OK')	image/png	etag:%220d0afc8b7aad51:0%22	https://www.gamestop.at/Views/Locale/Content/Images/LogosBrands/brandlogo-highlight-zubehoer.png	D:/itp%20project/site/site/www.gamestop.at/Views/Locale/Content/Images/LogosBrands/brandlogo-highlight-zubehoer.png	(from https://www.gamestop.at/PC/Games/114823/grand-theft-auto-v)
16:58:16	15451/15451	---M--	200	added ('OK')	image/png	etag:%220fad56d64aed51:0%22	https://www.gamestop.at/Views/Locale/Content/Images/LogosBrands/brandlogo-zubehoer-atplay.png	D:/itp%20project/site/site/www.gamestop.at/Views/Locale/Content/Images/LogosBrands/brandlogo-zubehoer-atplay.png	(from https://www.gamestop.at/PC/Games/114823/grand-theft-auto-v)
16:58:16	20045/20045	---M--	200	added ('OK')	image/png	etag:%220fad56d64aed51:0%22	https://www.gamestop.at/Views/Locale/Content/Images/LogosBrands/brandlogo-zubehoer-turtlebeach.png	D:/itp%20project/site/site/www.gamestop.at/Views/Locale/Content/Images/LogosBrands/brandlogo-zubehoer-turtlebeach.png	(from https://www.gamestop.at/PC/Games/114823/grand-theft-auto-v)
16:58:16	13526/13526	---M--	200	added ('OK')	image/png	etag:%220fad56d64aed51:0%22	https://www.gamestop.at/Views/Locale/Content/Images/LogosBrands/brandlogo-zubehoer-steelseries.png	D:/itp%20project/site/site/www.gamestop.at/Views/Locale/Content/Images/LogosBrands/brandlogo-zubehoer-steelseries.png	(from https://www.gamestop.at/PC/Games/114823/grand-theft-auto-v)
16:58:17	19786/19786	---M--	200	added ('OK')	image/png	etag:%224c716e2d30d51:0%22	https://www.gamestop.at/Views/Locale/Content/Images/Categories/cat-ControllerPS4.png	D:/itp%20project/site/site/www.gamestop.at/Views/Locale/Content/Images/Categories/cat-ControllerPS4.png	(from https://www.gamestop.at/PC/Games/114823/grand-theft-auto-v)
16:58:17	36220/36220	---M--	200	added ('OK')	image/png	etag:%22d4eb8debd30d51:0%22	https://www.gamestop.at/Views/Locale/Content/Images/Categories/cat-Wheels.png	D:/itp%20project/site/site/www.gamestop.at/Views/Locale/Content/Images/Categories/cat-Wheels.png	(from https://www.gamestop.at/PC/Games/114823/grand-theft-auto-v)
16:58:17	7568/7568	---M--	200	added ('OK')	image/png	etag:%2252624be7d30d51:0%22	https://www.gamestop.at/Views/Locale/Content/Images/Categories/cat-mouse.png	D:/itp%20project/site/site/www.gamestop.at/Views/Locale/Content/Images/Categories/cat-mouse.png	(from https://www.gamestop.at/PC/Games/114823/grand-theft-auto-v)
16:58:17	12816/12816	---M--	200	added ('OK')	image/png	etag:%22e76cdae6d30d51:0%22	https://www.gamestop.at/Views/Locale/Content/Images/Categories/cat-keyboard.png	D:/itp%20project/site/site/www.gamestop.at/Views/Locale/Content/Images/Categories/cat-keyboard.png	(from https://www.gamestop.at/PC/Games/114823/grand-theft-auto-v)
16:58:17	7028/7028	---M--	200	added ('OK')	image/png	etag:%22ecd52fe8d30d51:0%22	https://www.gamestop.at/Views/Locale/Content/Images/Categories/cat-PlayStationVR.png	D:/itp%20project/site/site/www.gamestop.at/Views/Locale/Content/Images/Categories/cat-PlayStationVR.png	(from https://www.gamestop.at/PC/Games/114823/grand-theft-auto-v)
16:58:18	71095/71095	---M--	200	added ('OK')	image/png	etag:%227177e492f7b8d61:0%22	https://www.gamestop.at/Views/Locale/Content/Images/LogosBrands/brandlogo-highlight-xbgamepass.png	D:/itp%20project/site/site/www.gamestop.at/Views/Locale/Content/Images/LogosBrands/brandlogo-highlight-xbgamepass.png	(from https://www.gamestop.at/PC/Games/114823/grand-theft-auto-v)
16:58:18	28294/28294	---M--	200	added ('OK')	image/png	etag:%2280906e6e64aed51:0%22	https://www.gamestop.at/Views/Locale/Content/Images/LogosBrands/brandlogo-dlc-xboxlive.png	D:/itp%20project/site/site/www.gamestop.at/Views/Locale/Content/Images/LogosBrands/brandlogo-dlc-xboxlive.png	(from https://www.gamestop.at/PC/Games/114823/grand-theft-auto-v)
16:58:18	26341/26341	---M--	200	added ('OK')	image/png	etag:%2280906e6e64aed51:0%22	https://www.gamestop.at/Views/Locale/Content/Images/LogosBrands/brandlogo-dlc-psn.png	D:/itp%20project/site/site/www.gamestop.at/Views/Locale/Content/Images/LogosBrands/brandlogo-dlc-psn.png	(from https://www.gamestop.at/PC/Games/114823/grand-theft-auto-v)
16:58:18	17072/17072	---M--	200	added ('OK')	image/png	etag:%2280906e6e64aed51:0%22	https://www.gamestop.at/Views/Locale/Content/Images/LogosBrands/brandlogo-dlc-switchonline.png	D:/itp%20project/site/site/www.gamestop.at/Views/Locale/Content/Images/LogosBrands/brandlogo-dlc-switchonline.png	(from https://www.gamestop.at/PC/Games/114823/grand-theft-auto-v)
16:58:19	8139/8139	---M--	200	added ('OK')	image/png	etag:%22916ce1c9cd98d71:0%22	https://www.gamestop.at/Views/Locale/Content/Images/Categories/cat-dlc-anime.png	D:/itp%20project/site/site/www.gamestop.at/Views/Locale/Content/Images/Categories/cat-dlc-anime.png	(from https://www.gamestop.at/PC/Games/114823/grand-theft-auto-v)
16:58:19	6430/6430	---M--	200	added ('OK')	image/png	etag:%2221d1f19d575cd71:0%22	https://www.gamestop.at/Views/Locale/Content/Images/Categories/cat-dlc-entertainment.png	D:/itp%20project/site/site/www.gamestop.at/Views/Locale/Content/Images/Categories/cat-dlc-entertainment.png	(from https://www.gamestop.at/PC/Games/114823/grand-theft-auto-v)
16:58:19	10534/10534	---M--	200	added ('OK')	image/png	etag:%22404720ed74ed71:0%22	https://www.gamestop.at/Views/Locale/Content/Images/Categories/cat-dlc-points.png	D:/itp%20project/site/site/www.gamestop.at/Views/Locale/Content/Images/Categories/cat-dlc-points.png	(from https://www.gamestop.at/PC/Games/114823/grand-theft-auto-v)
16:58:19	14789/14789	---M--	200	added ('OK')	image/png	etag:%22d97e5e9ecd58d51:0%22	https://www.gamestop.at/Views/Locale/Content/Images/Categories/cat-dlc-games.png	D:/itp%20project/site/site/www.gamestop.at/Views/Locale/Content/Images/Categories/cat-dlc-games.png	(from https://www.gamestop.at/PC/Games/114823/grand-theft-auto-v)
16:58:19	14567/14567	---M--	200	added ('OK')	image/png	etag:%22656c789ecd58d51:0%22	https://www.gamestop.at/Views/Locale/Content/Images/Categories/cat-dlc-pc.png	D:/itp%20project/site/site/www.gamestop.at/Views/Locale/Content/Images/Categories/cat-dlc-pc.png	(from https://www.gamestop.at/PC/Games/114823/grand-theft-auto-v)
16:58:20	13176/13176	---M--	200	added ('OK')	image/png	etag:%2253e9c59dcd58d51:0%22	https://www.gamestop.at/Views/Locale/Content/Images/Categories/cat-dlc-weitere.png	D:/itp%20project/site/site/www.gamestop.at/Views/Locale/Content/Images/Categories/cat-dlc-weitere.png	(from https://www.gamestop.at/PC/Games/114823/grand-theft-auto-v)
16:58:20	66667/66667	---M--	200	added ('OK')	image/png	etag:%220d0afc8b7aad51:0%22	https://www.gamestop.at/Views/Locale/Content/Images/LogosBrands/brandlogo-highlight-used.png	D:/itp%20project/site/site/www.gamestop.at/Views/Locale/Content/Images/LogosBrands/brandlogo-highlight-used.png	(from https://www.gamestop.at/PC/Games/114823/grand-theft-auto-v)
